,happy,moves,deaths,births,total_agents,adults_agents,young_agents,elderly_agents,similar_neighbors
0,0.41500258750519425,115.2,0.0,7.6,197.6,67.2,61.6,68.8,0.16727852401698323
1,0.655344778999426,70.4,0.0,5.4,205.2,67.2,69.2,68.8,0.24613940877511492
2,0.7663331936000356,49.2,0.0,7.2,210.6,67.2,74.6,68.8,0.2903223746005217
3,0.8315346439526399,36.4,0.0,6.8,217.8,67.2,81.8,68.8,0.33301978694562057
4,0.8743473498881469,27.8,0.0,5.0,224.6,67.2,88.6,68.8,0.3631123579390083
5,0.893077003365066,24.2,0.0,5.0,229.6,67.2,93.6,68.8,0.3795140788750663
6,0.9187120195036991,18.8,0.0,4.6,234.6,67.2,98.6,68.8,0.3973223303795027
7,0.8884725137044942,26.0,0.0,6.4,239.2,62.4,84.8,92.0,0.38056660939430415
8,0.7581148993122113,58.4,22.4,4.8,245.6,63.8,69.4,112.4,0.3217471036935751
9,0.6748544901985591,73.8,24.6,7.2,228.0,61.6,52.8,113.6,0.2691698622701345
10,0.669645590211816,69.0,21.8,7.6,210.6,69.2,52.4,89.0,0.2794635196926201
11,0.7126940010594784,55.2,0.0,7.0,196.4,74.6,54.6,67.2,0.29726808374243885
12,0.765302006314702,46.6,0.0,8.0,203.4,81.8,54.4,67.2,0.3225763113768712
13,0.799354884072492,41.6,0.0,7.8,211.4,88.6,55.6,67.2,0.34320441547110225
14,0.8200270821698004,38.6,0.0,9.8,219.2,93.6,58.4,67.2,0.36305646711817374
15,0.8409621163276029,35.4,0.0,9.4,229.0,98.6,63.2,67.2,0.37722196541017283
16,0.8685031677994786,30.4,0.0,7.0,238.4,103.2,68.0,67.2,0.402453408646892
17,0.8648211497994875,32.2,0.0,7.8,245.4,91.2,68.6,85.6,0.40013899977352924
18,0.8186154275865414,44.6,23.2,8.4,253.2,74.2,71.6,107.4,0.371861894658202
19,0.7493732223804308,58.2,20.4,4.6,238.4,60.0,72.8,105.6,0.3178736397263234
20,0.7487118086179801,54.0,23.6,8.0,222.6,60.0,69.8,92.8,0.31168953997795495
21,0.7258053076909585,55.6,0.0,7.2,207.0,61.6,70.8,74.6,0.3007499056800769
22,0.7560815372765597,50.6,0.0,6.0,214.2,62.4,70.0,81.8,0.31542711173803645
23,0.7641430336089778,50.4,0.0,5.8,220.2,63.4,68.2,88.6,0.3283980059328357
24,0.7921418391050954,44.6,0.0,7.0,226.0,68.2,64.2,93.6,0.342043689350863
25,0.8045423871777073,43.8,0.0,7.4,233.0,72.6,61.8,98.6,0.3592827284774779
26,0.8166775801449095,43.2,0.0,7.0,240.4,75.0,62.2,103.2,0.3691540724889172
27,0.8275794593631407,41.4,0.0,9.6,247.4,76.4,61.4,109.6,0.38376940953553856
28,0.8173351492793781,45.0,18.4,7.2,257.0,80.0,62.6,114.4,0.388771525884811
29,0.8317912995215506,40.0,21.8,6.6,245.8,77.4,65.2,103.2,0.3690548096799268
30,0.7867310477171399,47.2,21.4,9.4,230.6,77.8,63.8,89.0,0.32920715588082844
31,0.726778337052435,58.0,7.6,6.8,218.6,78.0,66.0,74.6,0.297462975735523
32,0.7492308921587363,52.6,5.4,8.4,217.8,76.0,66.8,75.0,0.30860539989017755
33,0.7746831987208742,48.6,7.2,7.8,220.8,74.0,69.4,77.4,0.32679634271711994
34,0.7580345714404302,51.8,6.8,8.8,221.4,71.2,70.2,80.0,0.3134913312168138
35,0.7434819302811279,55.0,5.0,8.6,223.4,69.2,71.6,82.6,0.3109627773317112
36,0.7362822678724674,58.2,5.0,8.2,227.0,69.2,73.2,84.6,0.3106862606189159
37,0.7653785564377096,52.6,4.6,6.6,230.2,71.0,71.8,87.4,0.32426532300047534
38,0.7604851350692045,53.4,6.4,8.4,232.2,69.8,71.2,91.2,0.3258036719038114
39,0.7486068118936394,56.4,4.8,7.2,234.2,71.8,73.0,89.4,0.3224311511963357
40,0.7757368411625535,51.2,7.2,6.4,236.6,73.2,70.8,92.6,0.3270401987149639
41,0.7737412888689604,51.2,7.6,5.4,235.8,72.8,70.4,92.6,0.3322269752565531
42,0.7735224926765458,51.4,7.0,6.8,233.6,75.2,67.4,91.0,0.33545477955547687
43,0.7777765086046033,50.0,8.0,8.6,233.4,77.2,66.4,89.8,0.3356567251887347
44,0.7727498260735295,50.8,7.8,8.6,234.0,79.0,66.2,88.8,0.3323419774565871
45,0.7551624912549003,54.6,9.8,7.0,234.8,80.2,66.2,88.4,0.3281892187620624
46,0.7751158740387809,50.0,9.4,9.4,232.0,81.4,65.0,85.6,0.329526880259987
47,0.7549033238133919,54.4,7.0,8.2,232.0,78.4,67.8,85.8,0.32842354694404696
48,0.7826047880579691,48.6,7.8,9.6,233.2,79.6,67.6,86.0,0.3290084263824771
49,0.794218822492543,46.6,8.4,6.8,235.0,80.2,70.0,84.8,0.33363916545811506
50,0.7882171060975909,47.4,4.6,7.8,233.4,77.2,70.4,85.8,0.333628599918718
51,0.7742003760525644,51.8,8.0,6.4,236.6,75.8,72.8,88.0,0.3322024618220119
52,0.7949450452604372,46.8,7.2,6.8,235.0,74.2,72.4,88.4,0.3350217968595402
53,0.7814757752422754,50.2,6.0,7.6,234.6,75.0,70.6,89.0,0.3336787522014774
54,0.783877369480038,49.8,5.8,5.4,236.2,74.8,69.6,91.8,0.33545380109604994
55,0.7763194527560879,50.6,7.0,8.6,235.8,73.2,68.0,94.6,0.3265802145106975
56,0.7891055511167315,48.0,7.4,10.0,237.4,74.4,67.2,95.8,0.32759398951764346
57,0.7921803339142228,48.2,7.0,7.2,240.0,76.0,69.0,95.0,0.3320307442310938
58,0.7691023452515456,53.4,9.6,9.2,240.2,77.2,66.6,96.4,0.322180133953887
