happy,moves,deaths,births,total_agents,adults_agents,young_agents,elderly_agents,similar_neighbors
0.3541666666666667,124,0,2,192,60,68,64,0.16341145833333334
0.5979381443298969,78,0,5,194,60,70,64,0.25128865979381443
0.7286432160804021,54,0,6,199,60,75,64,0.2971105527638191
0.7609756097560976,49,0,4,205,60,81,64,0.32134146341463415
0.7990430622009569,42,0,8,209,60,85,64,0.3438995215311005
0.8202764976958525,39,0,9,217,60,93,64,0.35080645161290325
0.8628318584070797,31,0,7,226,60,102,64,0.39988938053097345
0.8240343347639485,41,0,5,233,58,92,83,0.3760729613733906
0.7605042016806722,57,19,4,238,65,73,100,0.32983193277310924
0.6367713004484304,81,25,4,223,68,50,105,0.27522421524663676
0.6287128712871287,75,20,7,202,70,52,80,0.28217821782178215
0.7248677248677249,52,0,12,189,75,54,60,0.2962962962962963
0.8009950248756219,40,0,7,201,81,60,60,0.333955223880597
0.7932692307692307,43,0,8,208,85,63,60,0.3407451923076923
0.8379629629629629,35,0,13,216,93,63,60,0.3559027777777778
0.8253275109170306,40,0,8,229,102,67,60,0.3777292576419214
0.8818565400843882,28,0,9,237,109,68,60,0.40664556962025317
0.8658536585365854,33,0,10,246,97,72,77,0.3932926829268293
0.84375,40,19,3,256,77,78,101,0.36865234375
0.7375,63,17,6,240,54,77,109,0.31354166666666666
0.777292576419214,51,24,8,229,59,76,94,0.3487991266375546
0.7417840375586855,55,0,7,213,66,72,75,0.3315727699530516
0.8090909090909091,42,0,5,220,67,72,81,0.3744318181818182
0.8133333333333334,42,0,7,225,71,69,85,0.37
0.7801724137931034,51,0,9,232,76,63,93,0.38362068965517243
0.7676348547717843,56,0,7,241,75,64,102,0.3801867219917012
0.782258064516129,54,0,4,248,77,62,109,0.38306451612903225
0.8055555555555556,49,0,8,252,82,56,114,0.3933531746031746
0.8269230769230769,45,17,10,260,81,61,118,0.4115384615384615
0.8260869565217391,44,24,10,253,83,65,105,0.3769762845849802
0.7573221757322176,58,27,7,239,84,67,88,0.3310669456066946
0.6894977168949772,68,2,9,219,79,67,73,0.3167808219178082
0.7831858407079646,49,5,4,226,77,71,78,0.35398230088495575
0.7644444444444445,53,6,8,225,76,68,81,0.3566666666666667
0.7929515418502202,47,4,12,227,72,67,88,0.3772026431718062
0.7787234042553192,52,8,7,235,71,72,92,0.3680851063829787
0.8162393162393162,43,9,4,234,66,75,93,0.3685897435897436
0.8034934497816594,45,7,10,229,64,71,94,0.35262008733624456
0.8060344827586207,45,5,11,232,71,71,90,0.3701508620689655
0.8151260504201681,44,4,4,238,75,72,91,0.3786764705882353
0.7857142857142857,51,4,7,238,74,69,95,0.358718487394958
0.7925311203319502,50,7,8,241,76,67,98,0.38070539419087135
0.8223140495867769,43,12,8,242,75,71,96,0.3837809917355372
0.7983193277310925,48,7,4,238,76,71,91,0.36186974789915966
0.7659574468085106,55,8,8,235,79,63,93,0.33670212765957447
0.7489361702127659,59,13,8,235,79,64,92,0.3191489361702128
0.7565217391304347,56,8,14,230,79,68,83,0.30543478260869567
0.75,59,9,5,236,81,72,83,0.3230932203389831
0.7370689655172413,61,10,9,232,82,66,84,0.31627155172413796
0.70995670995671,67,3,8,231,76,71,84,0.31601731601731603
0.7372881355932204,62,6,4,236,76,72,88,0.3220338983050847
0.7735042735042735,53,8,8,234,75,68,91,0.3311965811965812
0.7735042735042735,53,7,5,234,79,68,87,0.31036324786324787
0.8017241379310345,46,5,11,232,75,69,88,0.33135775862068967
0.7689075630252101,55,7,9,238,71,72,95,0.31985294117647056
0.7375,63,9,7,240,72,73,95,0.33229166666666665
0.819327731092437,43,7,6,238,82,66,90,0.33560924369747897
0.7974683544303798,48,4,1,237,77,67,93,0.34335443037974683
0.7692307692307693,54,8,8,234,75,59,100,0.32051282051282054
0.7735042735042735,53,10,17,234,79,59,96,0.3055555555555556
0.7759336099585062,54,10,5,241,76,72,93,0.32676348547717843
0.7754237288135594,53,7,9,236,76,69,91,0.3320974576271186
0.7689075630252101,55,9,8,238,73,73,92,0.33455882352941174
0.8143459915611815,44,4,9,237,80,70,87,0.33755274261603374
0.7851239669421488,52,8,12,242,81,70,91,0.35020661157024796
0.7479674796747967,62,12,7,246,80,75,91,0.33485772357723576
0.7800829875518672,53,7,8,241,72,76,93,0.34387966804979253
0.7727272727272727,55,4,10,242,68,83,91,0.3352272727272727
0.7862903225806451,53,10,6,248,67,85,96,0.35080645161290325
0.7418032786885246,63,11,8,244,76,74,94,0.32530737704918034
0.7551867219917012,59,4,2,241,77,77,87,0.3360995850622407
0.7824267782426778,52,7,5,239,78,70,91,0.34675732217573224
0.7679324894514767,55,8,13,237,81,67,89,0.3470464135021097
0.768595041322314,56,8,8,242,79,71,92,0.35382231404958675
0.743801652892562,62,4,6,242,82,67,93,0.34762396694214875
0.7663934426229508,57,8,11,244,82,66,96,0.375
0.757085020242915,60,8,6,247,84,69,94,0.3724696356275304
0.8122448979591836,46,14,2,245,93,65,87,0.3877551020408163
0.7982832618025751,47,5,7,233,91,61,81,0.36802575107296137
0.7617021276595745,56,9,5,235,82,60,93,0.33617021276595743
0.7532467532467533,57,8,6,231,79,63,89,0.3365800865800866
0.8034934497816594,45,4,9,229,75,64,90,0.34170305676855894
0.782051282051282,51,8,4,234,80,60,94,0.3392094017094017
0.7347826086956522,61,5,6,230,79,56,95,0.3375
0.7359307359307359,61,11,7,231,73,56,102,0.34794372294372294
0.7400881057268722,59,9,8,227,77,52,98,0.33645374449339205
0.7256637168141593,62,7,7,226,75,54,97,0.3213495575221239
0.7256637168141593,62,6,8,226,67,59,100,0.3434734513274336
0.7543859649122807,56,1,4,228,68,60,100,0.3645833333333333
0.8138528138528138,43,8,5,231,65,59,107,0.39285714285714285
0.8070175438596491,44,17,7,228,69,58,101,0.3684210526315789
0.7935779816513762,45,5,6,218,73,56,89,0.35607798165137616
0.771689497716895,50,9,4,219,64,58,97,0.3504566210045662
0.8084112149532711,41,8,5,214,62,56,96,0.3703271028037383
0.7345971563981043,56,9,9,211,63,54,94,0.3459715639810427
0.7345971563981043,56,12,5,211,60,55,96,0.3406398104265403
0.7156862745098039,58,7,7,204,61,53,90,0.3161764705882353
0.7058823529411765,60,8,4,204,67,52,85,0.31004901960784315
0.76,48,10,10,200,64,52,84,0.340625
0.74,52,6,8,200,64,57,79,0.32375
0.7128712871287128,58,8,3,202,65,58,79,0.3118811881188119
0.7055837563451777,58,2,4,197,62,55,80,0.3096446700507614
0.7185929648241206,56,5,4,199,62,55,82,0.3203517587939699
0.7171717171717171,56,13,2,198,61,54,83,0.3244949494949495
0.6417112299465241,67,8,9,187,63,47,77,0.29010695187165775
0.601063829787234,75,6,5,188,60,51,77,0.26728723404255317
0.6577540106951871,64,11,7,187,60,49,78,0.27807486631016043
0.6120218579234973,71,6,2,183,56,52,75,0.2657103825136612
0.6368715083798883,65,2,6,179,62,44,73,0.2835195530726257
0.6229508196721312,69,7,7,183,65,42,76,0.2773224043715847
0.5683060109289617,79,5,5,183,61,46,76,0.24726775956284153
0.5901639344262295,75,6,6,183,59,47,77,0.25
0.639344262295082,66,9,7,183,59,49,75,0.273224043715847
0.6685082872928176,60,4,4,181,56,54,71,0.2838397790055249
0.6574585635359116,62,6,3,181,56,49,76,0.2796961325966851
0.6348314606741573,65,7,5,178,56,47,75,0.27457865168539325
