happy,moves,deaths,births,total_agents,adults_agents,young_agents,elderly_agents,similar_neighbors
0.5768595041322314,256,0,63,605,204,134,267,0.22954545454545455
0.7230538922155688,185,70,62,668,203,124,341,0.29416167664670656
0.6772727272727272,213,70,74,660,200,125,335,0.28958333333333336
0.7003012048192772,199,66,71,664,197,136,331,0.29781626506024095
0.6860986547085202,210,61,62,669,186,145,338,0.296898355754858
0.6895522388059702,208,74,63,670,199,133,338,0.30149253731343284
0.6722306525037937,216,64,60,659,207,125,327,0.294195751138088
0.6763358778625954,212,66,54,655,207,123,325,0.28893129770992365
0.6702954898911353,212,73,52,643,196,114,333,0.286547433903577
0.6591639871382636,212,61,52,622,185,106,331,0.28396302250803857
0.6721044045676998,201,63,58,613,177,104,332,0.29200652528548127
0.65625,209,62,74,608,166,110,332,0.2870065789473684
0.6532258064516129,215,74,56,620,158,132,330,0.2842741935483871
0.6710963455149501,198,71,66,602,162,130,310,0.2749169435215947
0.6415410385259631,214,62,58,597,184,122,291,0.2703098827470687
0.6779089376053963,191,63,64,593,188,124,281,0.2712900505902192
0.6279461279461279,221,60,65,594,196,122,276,0.25084175084175087
0.6260434056761269,224,54,64,599,180,129,290,0.26502504173622704
0.6535303776683087,211,52,65,609,188,129,292,0.2662151067323481
0.6559485530546624,214,52,59,622,187,129,306,0.2865755627009646
0.685214626391097,198,58,66,629,193,124,312,0.28259141494435613
0.7032967032967034,189,74,81,637,194,125,318,0.28492935635792777
0.6677018633540373,214,56,61,644,188,147,309,0.27717391304347827
0.6949152542372882,198,66,64,649,190,142,317,0.3008474576271186
0.6800618238021638,207,58,67,647,206,125,316,0.2921174652241113
0.6753048780487805,213,64,72,656,208,131,317,0.28734756097560976
0.6912650602409639,205,65,70,664,206,139,319,0.2791792168674699
0.6756352765321375,217,64,73,669,192,142,335,0.2851270553064275
0.700589970501475,203,65,67,678,203,143,332,0.3056784660766962
0.7132352941176471,195,59,62,680,209,140,331,0.30018382352941175
0.7042459736456809,202,66,73,683,215,129,339,0.31002928257686674
0.6985507246376812,208,81,72,690,210,135,345,0.3108695652173913
0.7092511013215859,198,61,63,681,202,145,334,0.30359765051395005
0.6998535871156661,205,64,65,683,202,135,346,0.2884333821376281
0.7368421052631579,180,67,70,684,207,128,349,0.3092105263157895
0.7379912663755459,180,72,52,687,208,135,344,0.31750363901018924
0.7226386806596702,185,70,75,667,200,122,345,0.32083958020989506
0.6994047619047619,202,73,63,672,198,127,347,0.3020833333333333
0.7099697885196374,192,67,59,662,187,138,337,0.31287764350453173
0.6865443425076453,205,62,72,654,197,122,335,0.3048547400611621
0.6686746987951807,220,73,66,664,190,131,343,0.3068524096385542
0.6940639269406392,201,72,62,657,197,138,322,0.2954718417047184
0.6553323029366306,223,63,65,647,194,128,325,0.2741499227202473
0.6825885978428351,206,65,69,649,197,127,325,0.2821648690292758
0.6952526799387443,199,70,55,653,200,134,319,0.28981623277182234
0.6990595611285266,192,52,64,638,193,124,321,0.2872257053291536
0.6784615384615384,209,75,60,650,196,119,335,0.2921153846153846
0.662992125984252,214,63,57,635,189,124,322,0.28720472440944883
0.685214626391097,198,59,66,629,188,117,324,0.29193163751987283
0.6855345911949685,200,72,63,636,179,123,334,0.29127358490566035
0.6666666666666666,209,66,55,627,181,129,317,0.2850877192982456
0.6428571428571429,220,62,60,616,183,118,315,0.2784090909090909
0.6482084690553745,216,65,59,614,186,115,313,0.2856270358306189
0.6792763157894737,195,69,58,608,184,119,305,0.2833059210526316
0.6633165829145728,201,55,61,597,178,117,302,0.2868509212730318
0.6384742951907131,218,64,58,603,174,119,310,0.2763266998341625
0.6733668341708543,195,60,62,597,177,119,301,0.2933417085427136
0.6961602671118531,182,57,61,599,178,120,301,0.30530050083472454
0.6616915422885572,204,66,43,603,177,123,303,0.2864842454394693
0.6275862068965518,216,63,64,580,181,104,295,0.27004310344827587
0.6368330464716007,211,55,53,581,181,107,293,0.28270223752151463
0.6770293609671848,187,60,57,579,166,117,296,0.28432642487046633
0.6510416666666666,201,59,52,576,168,110,298,0.2725694444444444
0.6221441124780316,215,58,43,569,160,109,300,0.26823374340949035
0.6173285198555957,212,61,56,554,174,95,285,0.2773014440433213
0.6302367941712204,203,58,56,549,162,99,288,0.2650273224043716
0.6343692870201096,200,62,53,547,152,112,283,0.27148080438756855
0.6505576208178439,188,61,54,538,151,109,278,0.2771840148698885
0.6346516007532956,194,43,59,531,155,107,269,0.2565913370998117
0.6489945155393053,192,64,53,547,165,113,269,0.26508226691042047
0.6268656716417911,200,53,52,536,163,112,261,0.2579291044776119
0.6373831775700934,194,57,57,535,166,105,264,0.2717289719626168
0.6149532710280374,206,52,57,535,166,109,260,0.2504672897196262
0.5981481481481481,217,43,54,540,164,114,262,0.25069444444444444
0.6134301270417423,213,56,60,551,162,111,278,0.2513611615245009
0.5963963963963964,224,56,54,555,166,114,275,0.24864864864864866
0.6311030741410488,204,53,51,553,168,114,271,0.26198010849909587
0.6243194192377496,207,54,64,551,171,105,275,0.25340290381125224
0.6114081996434938,218,59,60,561,168,115,278,0.2520053475935829
0.5569395017793595,249,53,53,562,165,124,273,0.23843416370106763
0.604982206405694,222,52,65,562,169,113,280,0.25511565836298933
